TYPE,YEAR,DATE_,HOUR,CCN,ARREST_NUMBER,AGE,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ARREST_PSA,ARREST_DISTRICT,ARREST_BLOCKX,ARREST_BLOCKY,OFFENSE_BLOCKY,OFFENSE_BLOCKX,OFFENSE_PSA,OFFENSE_DISTRICT,ARREST_LATITUDE,ARREST_LONGITUDE,OFFENSE_LATITUDE,OFFENSE_LONGITUDE,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,GLOBALID,OBJECTID
Adult Arrest,2013,2013/11/14 05:00:00+00,6,45bb932cb42f1bba872a8dfcfb2428a10d6fe0598a63f2c72a383f9755a981d9,1057043c3187ebc5c85920edbb441300e1446d3764e70faa68d9e8a530dcda27,37,Out of State,Out of State,WHITE,NOT HISPANIC,MALE,Sex Abuse,Second Degree Sex Abuse- Incompetent,102,1D,398600,136300,,,,,,,,,ADULT_ARRESTS_1,,,JLAY,2023/09/27 21:18:52+00,{80CA3650-32C9-42C6-8412-9250D0E433BF},1
Adult Arrest,2013,2013/11/20 05:00:00+00,15,d558ea651a7b32e88571a453ccdf39376b2ec9dfb11f3c955f7c1d18b5e3e600,ad3f22534b1e2c409d66328bb4ac3904e9bacc768c60919dc74b9b32f548b131,39,602,6D,BLACK,,MALE,Homicide,Murder I,602,6D,405900,137300,,,602,6D,,,,,ADULT_ARRESTS_2,,,JLAY,2023/09/27 21:18:52+00,{F1B2E42E-38B5-49D6-8A60-BF8CF0690A12},2
Adult Arrest,2013,2013/12/03 05:00:00+00,0,85451f87475b042563ddebc20b89b7258f07bca9b55b770a231b2a5cb10f2728,a723e9f1d0b44a6e0cef81994b8e7d3d3da55270e6f871242f04867e50476a71,40,Out of State,Out of State,BLACK,,MALE,Prostitution,Solicting Prostitution,103,1D,399200,137200,,,,,,,,,ADULT_ARRESTS_3,,,JLAY,2023/09/27 21:18:52+00,{7F8BA37F-51F5-437F-A8F4-4B755385797B},3
Adult Arrest,2013,2013/12/05 05:00:00+00,21,3498c726acd19b8fc48c50a86c4e21e5823c41722cb779c628640eaa96820eff,1a94d5a92f8538d3252aa65690ab70fac1a67646eb22ee31bff329b429e2baed,65,502,5D,BLACK,,MALE, rcotics,Ucsa Pwid Heroin,102,1D,398400,136900,,,,,,,,,ADULT_ARRESTS_4,,,JLAY,2023/09/27 21:18:52+00,{70B94138-C9F4-4CFF-9A72-12B071F3A78C},4
Adult Arrest,2013,2013/12/09 05:00:00+00,23,88e342ab716f545b67c467914d6999d514ec6ea34d5c2e3995a3a191f6c4a83f,5a0e432aaa38e011a7b8aa29de617d4e635acab29b3db5902368b9a7c96164dc,31,702,7D,BLACK,NOT HISPANIC,MALE,Traffic Violations,No Permit,204,2D,,,,,,,,,,,ADULT_ARRESTS_5,,,JLAY,2023/09/27 21:18:52+00,{2DCB5E7E-311F-48B8-A36B-BF1D6C2890F5},5
Adult Arrest,2013,2013/12/10 05:00:00+00,2,6770570dede172ed8349c0761e14a7562f548f504f62fdb00ac91e2f1a0eeb6f,970d9e06321aee558af58f127e100b79c3345a9512d1e9048ce69e8c0b636299,25,702,7D,BLACK,NOT HISPANIC,FEMALE,Driving/Boating While Intoxicated,Dui - Refusing Test,,,,,,,,,,,,,ADULT_ARRESTS_6,,,JLAY,2023/09/27 21:18:52+00,{BC4F95AC-7F89-4A11-98D9-E1AEF21CF193},6
Adult Arrest,2013,2013/12/11 05:00:00+00,1,a0aa54bbeea8836612d402a41232e298695a25b210866fa8aaa68178822f76a6,7fd5396e0155e7902bb23fe4a569bc2d17668f2e704b5cce5b5f5d9576de0760,47,704,7D,BLACK,,MALE,Prostitution,Pandering A Minor,703,7D,401400,131800,,,,,,,,,ADULT_ARRESTS_7,,,JLAY,2023/09/27 21:18:52+00,{3F43E045-A0B4-4E5E-8E9A-32F3D4EB9BF9},7
Adult Arrest,2013,2013/12/17 05:00:00+00,10,768f622604b6976060bc68284589345ffc9eda43163ae04fa1da0d21885afd68,47863706772d21afe181a12c76bd460d9444ddd29d40232451d778938bb9acf1,33,408,4D,WHITE,NOT HISPANIC,MALE,Assault on a Police Officer,Apo (misd),409,4D,397900,140900,,,,,,,,,ADULT_ARRESTS_8,,,JLAY,2023/09/27 21:18:52+00,{0B68DE57-5F3A-401A-82A8-5305356F196D},8
Adult Arrest,2013,2013/12/21 05:00:00+00,23,c9ff7899e78dd31da5cf2068b1a7d822ecc21a5c8e595d66b5a3f22363d91d4b,d31332d96a81f560caed0f32424da43b257bc994828b40d3270444386f4b4b60,54,604,6D,BLACK,NOT HISPANIC,FEMALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,,,,,,,207,2D,,,,,ADULT_ARRESTS_9,,,JLAY,2023/09/27 21:18:52+00,{DB0B4FC0-5202-4ED9-9FFA-E9C37CB33E6E},9
Adult Arrest,2013,2013/12/28 05:00:00+00,21,d165d0189041a246a75812c523314b7d6e1fc530ff414698ec2f1f02d5961839,6b2c5aeadae1ada6a3475f9a45997f52087d0273d0f21f3cf401a6e148be85f8,22,602,6D,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive,Fugitive From Justice,604,6D,406000,134500,,,,,,,,,ADULT_ARRESTS_10,,,JLAY,2023/09/27 21:18:52+00,{3AE519E1-5BD2-4DDB-9AE9-F2A515D2616F},10
