X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-76.994099252606,38.8429810821835,24022219,2024/02/20 11:08:25+00,MIDNIGHT,OTHERS,THEFT F/AUTO,3200 - 3299 BLOCK OF WHEELER ROAD SE,400512.460606429,130574.929078604,8,8C,7,705,Cluster 39,009804 1,009804,Precinct 122,38.8429733051,-76.9940969743,,2024/02/12 18:19:00+00,2024/02/12 19:36:00+00,491230602,
-77.0519054257246,38.9242076033088,24025723,2024/02/19 09:58:59+00,MIDNIGHT,OTHERS,THEFT/OTHER,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,395499.25,139592.96,3,3C,2,204,Cluster 15,000501 1,000501,Precinct 136,38.9241998122,-77.0519031245,,2024/02/19 03:05:00+00,2024/02/19 03:10:00+00,491230603,
-77.0219031959888,38.9194985177543,24016739,2024/02/02 22:42:33+00,EVENING,OTHERS,THEFT F/AUTO,2200 - 2299 BLOCK OF GEORGIA AVENUE NW,398100.75,139069.16,1,1E,3,305,Cluster 3,003500 3,003500,Precinct 37,38.9194907264,-77.0219009044,,2023/12/31 03:00:00+00,2023/12/31 07:00:00+00,491231098,
-77.0385847834504,38.93184793813,24023652,2024/02/15 07:46:58+00,MIDNIGHT,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF MOUNT PLEASANT STREET NW,396654.7,140440.53,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 40,38.931840145,-77.038582486,,2024/02/15 06:35:00+00,2024/02/15 07:05:00+00,491231137,
-77.0239799863956,38.9064524130166,24028488,2024/02/24 14:19:26+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1200 - 1299 BLOCK OF 9TH STREET NW,397920.27,137620.98,2,2G,3,307,Cluster 7,004902 2,004902,Precinct 129,38.9064446244,-77.023977695,,2024/02/24 04:27:00+00,2024/02/24 05:26:00+00,491231143,
-76.9937578770246,38.9215924980366,24022114,2024/02/12 15:09:06+00,DAY,OTHERS,THEFT/OTHER,2300 - 2499 BLOCK OF WASHINGTON PLACE NE,400541.5,139301.4,5,5C,5,505,Cluster 22,009102 4,009102,Precinct 72,38.9215847053,-76.9937555941,,2024/02/12 14:50:00+00,2024/02/12 15:10:00+00,491231199,
-77.040877886926,38.9238776823034,24018100,2024/02/05 08:40:08+00,MIDNIGHT,OTHERS,BURGLARY,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,396455.48,139555.85,1,1C,3,303,Cluster 1,003901 2,003901,Precinct 35,38.9238698908,-77.0408755892,ADAMS MORGAN,2024/02/05 07:12:00+00,2024/02/05 07:25:00+00,491231207,
-77.0224064840077,38.9306990060749,24008275,2024/01/17 17:38:29+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF KEEFER PLACE NW,398057.41,140312.52,1,1E,4,409,Cluster 2,003200 3,003200,Precinct 38,38.9306912125,-77.0224041916,,2024/01/13 01:30:00+00,2024/01/13 01:31:00+00,491231208,
-77.0580828364515,38.9348320736476,24008555,2024/01/19 20:15:57+00,EVENING,OTHERS,THEFT/OTHER,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,394964.33,140772.69,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9348242806,-77.0580805327,,2023/10/18 00:25:00+00,2023/10/18 00:28:00+00,491231209,
-77.007368792407,38.9523611771449,24028274,2024/02/24 00:43:18+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,100 - 199 BLOCK OF GALLATIN STREET NE,399361.47,142717,5,5A,4,405,Cluster 19,009508 4,009508,Precinct 44,38.9523533787,-77.0073665034,,2024/02/23 21:27:00+00,2024/02/23 22:02:00+00,491231256,
